,cake_sales,desert_sales,summer_months,temps
1,38519.42338,43753.76045,0,43.64435601
2,51550.51349,48683.05438,0,48.65067433
3,18711.09938,18062.25618,0,18.06033112
4,2919.567424,2128.481363,0,2.1284969
5,65966.1362,52225.66012,0,52.28685895
6,30416.12076,28738.64238,0,28.73493762
7,38516.68677,40763.99518,0,40.79153943
8,-1449.698568,-1161.647058,0,-1.163810258
9,28359.65323,27210.66331,0,27.17648386
10,6497.939751,6077.624018,0,6.075744695
11,970.0094138,773.8684312,0,0.774312083
12,34852.08784,37520.8179,0,37.50912638
13,32137.2786,30851.08646,0,30.85939102
14,5150.77052,5577.385985,0,5.572192748
15,27203.11313,30271.8745,0,30.29355772
16,37174.99255,37437.04326,0,37.36007647
17,7474.417728,7571.595504,0,7.567949763
18,22839.66625,22922.56659,0,22.89982125
19,30678.52432,46084.48525,0,46.08709022
20,37837.27476,37021.01434,0,36.99077869
21,41687.75899,35549.06125,0,35.58859
22,47456.72739,51595.82337,0,51.55186211
23,48540.63963,48516.1676,0,48.51149565
24,18790.53092,19767.49021,0,19.76714681
25,33604.02707,39567.72831,0,39.57820592
26,13173.91079,11675.9834,0,11.68368027
27,-430.5929953,-248.9734614,0,-0.249254415
28,14142.79287,17701.31385,0,17.71575909
29,26271.35851,26055.65781,0,26.07182622
30,27681.55454,30529.52235,0,30.53949561
31,38873.22548,41193.71226,0,41.20005973
32,51513.73316,46681.12822,0,46.63541218
33,5391.837424,4994.457244,0,4.99694959
34,41357.94207,48310.04318,0,48.3105128
35,18721.54296,24376.30517,0,24.41061474
36,46228.47609,42395.0446,0,42.39456079
37,20674.95001,17981.5589,0,17.95716593
38,2182.72778,2494.812587,0,2.494760514
39,25315.74274,25769.54547,0,25.79052386
40,3637.778585,2855.806084,0,2.860804303
41,42499.37007,39424.28216,0,39.45161196
42,10021.45835,11435.18634,0,11.44073671
43,2999.970977,2602.843545,0,2.600491004
44,1447.929146,1350.035042,0,1.353114562
45,17381.70092,17416.22493,0,17.3897138
46,-1491.144101,-1387.225418,0,-1.386467416
47,20229.81475,19371.97385,0,19.37363826
48,39479.58364,38627.70718,0,38.65380228
49,28418.04895,26364.40719,0,26.4142639
50,48300.71532,44079.23389,0,44.15268576
51,383.7060311,560.5380882,0,0.559889122
52,35198.05326,35674.53211,0,35.6487537
53,41528.06403,34677.30781,0,34.70444137
54,6475.893833,5689.127991,0,5.698865775
55,36305.10671,48030.70004,0,48.01769511
56,6754.167493,6852.606355,0,6.868894029
57,4430.520064,2717.839642,0,2.719199371
58,25619.742,24248.40263,0,24.23774012
59,22233.26133,22802.09741,0,22.81350924
60,19588.82539,21290.38611,0,21.30220238
61,1645.490059,1817.520947,0,1.81794302
62,51327.42564,51938.79232,0,51.89649419
63,51843.80999,43600.97431,0,43.60505265
64,54503.83414,47050.31967,0,47.08241955
65,36916.40587,41903.5491,0,41.8559977
66,44090.12101,52064.4868,0,52.0220583
67,18344.53536,17707.58712,0,17.70736349
68,34289.39751,32233.91064,0,32.29219639
69,38060.00994,41700.02409,0,41.70015339
70,14609.48252,15664.67085,0,15.66210224
71,39849.63367,42809.8434,0,42.75098653
72,48837.03569,46410.43016,0,46.40265997
73,57225.31579,44684.96342,0,44.72994233
74,38505.99493,33889.47993,0,33.85461761
75,19682.75657,17353.13665,0,17.35515755
76,23992.30741,24737.38123,0,24.74035588
77,8814.868155,8699.451572,0,8.699254956
78,36368.03309,34257.38369,0,34.28146519
79,26318.79203,23694.6746,0,23.6895186
80,20363.24103,27691.23305,0,27.74475052
81,8204.769728,8835.302911,0,8.836411647
82,9232.508416,9625.620163,0,9.61561734
83,43070.11121,39674.85269,0,39.63482848
84,42389.30144,43876.84732,0,43.82312482
85,1430.126972,2116.131186,0,2.118813442
86,2138.782429,2322.107517,0,2.32102145
87,46864.21683,48309.41384,0,48.26572681
88,40438.38935,32559.92745,0,32.55592973
89,-551.9099025,-895.6419046,0,-0.894875036
90,3907.109358,3686.414311,0,3.687424496
91,31525.20478,28520.96807,0,28.54213862
92,13907.75468,13541.05206,0,13.53288572
93,18248.69061,18294.43844,0,18.27542624
94,23258.82013,24280.12587,0,24.27403187
95,-1800.201497,-1220.772613,0,-1.220164452
96,28905.7117,25940.42045,0,25.96546627
97,15441.56703,16732.25507,0,16.71840556
98,32299.4157,29102.13842,0,29.06160871
99,29874.83163,36947.9845,0,37.0444003
100,-1718.963565,-1915.667558,0,-1.914732449
101,5565.128412,4343.197163,0,4.339494921
102,24024.75646,23209.69353,0,23.2039735
103,8177.702392,8200.028467,0,8.195125296
104,27808.331,27384.59336,0,27.35370398
105,46893.03355,47888.85626,0,47.94917155
106,37333.75465,35960.80645,0,35.96234259
107,25692.17506,28293.62145,0,28.23834661
108,25405.30528,21197.17505,0,21.2061224
109,45197.95622,42630.28714,0,42.64419885
110,25540.79174,28350.68413,0,28.37433867
111,28954.12175,23623.15096,0,23.65479022
112,7124.37183,6903.654268,0,6.906598961
113,44417.77019,46932.67183,0,46.968402
114,12559.76403,12011.98315,0,12.00113409
115,387.4171691,885.5678685,0,0.884577263
116,2500.998569,2143.481329,0,2.143795237
117,46619.23211,46750.26622,0,46.61884393
118,16932.53205,16041.29371,0,16.02991659
119,11197.9329,10138.50793,0,10.13507681
120,43053.57584,44202.36611,0,44.21152765
121,29565.77558,34363.35596,0,34.32319871
122,29169.21604,29209.70129,0,29.20740871
123,36197.75856,34784.14859,0,34.8480719
124,19398.66387,16585.83275,0,16.57981326
125,-2706.287274,-2601.545673,0,-2.604248407
126,43987.65971,51050.84073,0,51.05250351
127,40394.89033,48552.12376,0,48.55937574
128,9405.493387,9197.879809,0,9.193482912
129,29449.11091,30570.47014,0,30.60253754
130,11626.15533,11448.40223,0,11.45114553
131,-1052.772191,-1689.702886,0,-1.691037551
132,31656.28453,45345.71502,0,45.34816398
133,20328.83337,18342.22868,0,18.34200838
134,22410.94926,17992.56163,0,17.9861336
135,34856.26242,29899.38634,0,29.91187104
136,13689.55026,11499.67116,0,11.49586365
137,14031.36513,11509.42335,0,11.50098389
138,26483.84803,24680.1312,0,24.66295384
139,46618.6884,45872.87083,0,45.83841684
140,41348.38091,46066.34937,0,46.05737301
141,27448.95436,29510.19016,0,29.48641547
142,19802.21422,16579.78614,0,16.57362542
143,13838.70855,14470.11156,0,14.47536788
144,29859.45559,29723.89167,0,29.70114997
145,36508.30748,35363.97622,0,35.35458397
146,24052.44539,26636.41888,0,26.6370915
147,34928.64225,33937.08424,0,33.91973293
148,37061.59794,40632.17569,0,40.65538843
149,22011.59533,24686.71739,0,24.70561376
150,3182.845791,3030.303121,0,3.02964583
151,13587.08816,11301.46607,0,11.27971644
152,3032.506832,3220.952452,0,3.222742799
153,146.8176002,137.1341913,0,0.136752488
154,39864.37803,38969.00374,0,39.04422249
155,31001.88532,30400.19917,0,30.32716017
156,43943.58821,45509.05819,0,45.54076619
157,43864.06253,38609.45783,0,38.61353646
158,41143.02784,41103.81119,0,41.10052126
159,45796.0677,46809.46765,0,46.91337386
160,20347.38888,18062.06677,0,18.07598781
161,36325.80147,38203.78848,0,38.25373265
162,16402.06717,15859.572,0,15.81507956
163,29592.84424,30699.22378,0,30.72827911
164,15555.6916,16381.24725,0,16.38894819
165,44828.25208,42768.4237,0,42.76630013
166,44423.48121,39625.49802,0,39.68711706
167,-1917.205671,-1877.72695,0,-1.873999035
168,39309.12458,40790.44802,0,40.77900691
169,13827.55798,17254.89033,0,17.27976581
170,19704.99689,17688.70481,0,17.69306955
171,37926.37315,40284.30838,0,40.23953197
172,3561.709453,3061.121199,0,3.063458706
173,16366.54832,13940.54925,0,13.91483553
174,39663.09172,46546.71776,0,46.55758446
175,40494.08139,37677.50415,0,37.65854385
176,2084.640849,1971.070623,0,1.968620776
177,26064.87831,28129.92711,0,28.07547434
178,26470.96982,22600.77563,0,22.65140107
179,27966.9534,32440.4499,0,32.43471832
180,17150.39029,16284.09734,0,16.29852544
181,4212.690341,4300.666188,0,4.298254333
182,15100.11939,16716.93291,0,16.73109948
183,26651.90262,26911.01382,0,26.90913951
184,28043.41839,29335.60076,0,29.28452112
185,16489.67056,15924.84711,0,15.94973246
186,5668.13021,6246.498695,0,6.250965319
187,34767.68393,39229.04603,0,39.34747866
188,44195.73126,47503.81008,0,47.53085701
189,15297.85586,12848.51836,0,12.86626686
190,21622.49999,25655.09417,0,25.66214018
191,19729.7557,17888.62072,0,17.86606051
192,36498.23821,39172.12063,0,39.1873955
193,-1807.975983,-2334.439229,0,-2.335094589
194,49975.72597,44989.2157,0,44.99861054
195,3855.98918,4873.483141,0,4.866544616
196,5009.932264,4179.051412,0,4.172820076
197,-3215.346026,-3289.82209,0,-3.286893045
198,-208.1803755,-575.8758189,0,-0.575455665
199,15177.37152,16310.68015,0,16.28130787
200,50569.92919,49329.27486,0,49.30062912
201,7496.597832,8007.300705,0,8.015103436
202,40232.34552,42404.46768,0,42.41067711
203,10546.10614,13257.25684,0,13.23706565
204,51546.66179,54624.13443,0,54.61441254
205,43237.61398,52324.73818,0,52.31111078
206,62448.19326,54658.77274,0,54.60176849
207,30570.14008,34923.65667,0,34.9499123
208,24390.40163,25760.52589,0,25.76914565
209,40559.7633,35080.17033,0,35.03225339
210,57045.37491,52733.3239,0,52.71693907
211,28093.52673,24147.46518,0,24.11774864
212,40147.07019,37164.808,0,37.1763568
213,12481.66102,13490.37116,0,13.46285946
214,58197.20553,55867.0192,0,55.9048254
215,46090.53563,52637.42335,0,52.57561571
216,55107.32926,53308.30081,0,53.28354123
217,53186.99201,47860.25776,0,47.87651423
218,39869.13865,35101.23883,0,35.14570859
219,11629.7067,10589.21283,0,10.58947352
220,12715.89692,10750.19031,0,10.75236922
221,5668.642239,5196.376205,0,5.195752595
222,22850.12294,20201.40527,0,20.20863443
223,19099.83337,20030.22461,0,20.03919725
224,53999.86043,56928.75667,0,56.97295524
225,6324.093109,6819.679053,0,6.808239039
226,42628.0959,34351.11968,0,34.35250578
227,21922.35093,21990.63791,0,21.98099466
228,45489.71446,43037.93256,0,43.06510453
229,21381.19863,19293.15441,0,19.31225041
230,34063.20429,39656.66158,0,39.64813036
231,49446.01956,50303.99943,0,50.30278401
232,15446.08685,14918.40936,0,14.9255207
233,45399.83698,46796.8319,0,46.75205386
234,4329.983361,4244.917646,0,4.242461429
235,46755.74896,42928.79731,0,42.9602086
236,44267.50428,50308.25205,0,50.28600691
237,58268.47035,53694.08402,0,53.72349309
238,55271.91614,48956.35709,0,49.00564636
239,53730.01839,53734.53229,0,53.68348993
240,20446.14218,22596.5763,0,22.57781828
241,19062.42395,16156.42672,0,16.15054339
242,27631.30445,28401.3149,0,28.39520663
243,32134.34295,32934.12977,0,32.89839913
244,22451.60682,21809.70547,0,21.79897975
245,20430.51225,17885.82498,0,17.89396376
246,25453.7928,23787.44408,0,23.78775275
247,6187.82545,5794.837402,0,5.782070029
248,6431.968791,6210.546601,0,6.207777827
